BR-Sa1,LBA_Tapajos_KM67_Mature_Forest
BR-Sa3,LBA_Tapajos_KM83_Logged_Forest
CA-NS1,UCI_1850
CA-NS2,UCI_1930
CA-NS3,UCI_1964
CA-NS4,UCI_1964wet
CA-NS5,UCI_1981
CA-NS6,UCI_1989
CA-NS7,UCI_1998
US-Me5,Metolius_First_Young_Pine
US-ARM,ARM_SGP_Main
US-ArB,ARM_SGP_Burn
US-ArC,ARM_SGP_Control
US-Atq,Atqasuk
US-Aud,Audubon_Grasslands
US-Bar,Bartlett_Experimental_Forest
US-Bkg,Brookings
US-Blo,Blodgett_Forest
US-Bo1,Bondville
US-Brw,Barrow
US-Dix,Fort_Dix
US-Dk1,Duke_Forest_Open_Field
US-Dk2,Duke_Forest_Hardwoods
US-Dk3,Duke_Forest_Loblolly_Pine
US-FPe,Fort_Peck
US-FR2,Freeman_Ranch_Mesquite_Juniper
US-Fmf,Flagstaff_Managed_Forest
US-Fuf,Flagstaff_Unmanaged_Forest
US-Fwf,Flagstaff_Wildfire
US-Goo,Goodwin_Creek
US-Ha1,Harvard_Forest
US-Ha2,Harvard_Forest_Hemlock
US-Ho1,Howland_Forest_Main
US-Ho2,Howland_Forest_West_Tower
US-IB1,Fermi_Agricultural
US-IB2,Fermi_Prairie
US-Ivo,Ivotuk
US-KS1,Kennedy_Space_Center_Slash_Pine_Flatwoods
US-KS2,Kennedy_Space_Center_Scrub_Oak
US-LPH,Little_Prospect_Hill
US-Los,Lost_Creek
US-MMS,Morgan_Monroe_State_Forest
US-MOz,Missouri_Ozark
US-Me1,Metolius_Eyerly_Burn
US-Me2,Metolius_Intermediate_Pine
US-Me3,Metolius_New_Young_Pine
US-Me4,Metolius_Old_Pine
US-Me5,Metolius_First_Young_Pine
US-NC1,North_Carolina_Clearcut
US-NC2,North_Carolina_Loblolly_Pine
US-NR1,Niwot_Ridge
US-Ne1,Mead_Irrigated
US-Ne2,Mead_Irrigated_Rotation
US-Ne3,Mead_Rainfed
US-Oho,Ohio_Oak_Openings
US-PFa,Park_Falls
US-SO2,Sky_Oaks_Old
US-SO3,Sky_Oaks_Young
US-SO4,Sky_Oaks_New
US-SP1,Austin_Cary
US-SP2,Mize
US-SP3,Donaldson
US-SP4,Rayonier
US-SRM,Santa_Rita_Mesquite_Savanna
US-Syv,Sylvania_Wilderness
US-Ton,Tonzi_Ranch
US-UMB,UMBS
US-Var,Vaira_Ranch
US-WBW,Walker_Branch
US-WCr,Willow_Creek
US-Wi0,Wisconsin_Young_Red_Pine
US-Wi1,Wisconsin_Intermediate_Hardwoods
US-Wi2,Wisconsin_Intermediate_Red_Pine
US-Wi4,Wisconsin_Mature_Red_Pine
US-Wi5,Wisconsin_Mixed_Young_Jack_Pine
US-Wi6,Wisconsin_Pine_Barrens
US-Wi7,Wisconsin_Clearcut_Red_Pine
US-Wi8,Wisconsin_Clearcut_Young_Hardwood
US-Wi9,Wisconsin_Young_Jack_Pine
US-Wkg,Kendall_Grassland
US-Wlr,Walnut_River
US-Wrc,Wind_River_Crane_Site
US-Ro3,Rosemount_G19_Alternative_Management_Corn_Soybean_Rotation
US-Ro1,Rosemount_G21_Conventional_Management_Corn_Soybean_Rotation
