 d,LAI,GP,NP,N_L,N_S,N_R,RaL,RaR,RhF,Rhs1,Rhs2,Rhs3,NE,bmR,bmL,bmS
     1.0000,     0.0897,    -0.0015,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1073,     0.2625,     0.0803,     0.0347,    -0.4848,   238.8684,     7.4759,     1.6421,
     2.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1084,     0.2656,     0.0813,     0.0351,    -0.4904,   237.6472,     7.4759,     1.6421,
     3.0000,     0.0897,    -0.0012,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1062,     0.2605,     0.0797,     0.0344,    -0.4809,   236.4324,     7.4759,     1.6421,
     4.0000,     0.0897,    -0.0012,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1052,     0.2583,     0.0790,     0.0341,    -0.4766,   235.2240,     7.4759,     1.6421,
     5.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1076,     0.2644,     0.0809,     0.0349,    -0.4879,   234.0219,     7.4759,     1.6421,
     6.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1054,     0.2593,     0.0793,     0.0342,    -0.4782,   232.8260,     7.4759,     1.6421,
     7.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1047,     0.2578,     0.0789,     0.0341,    -0.4755,   231.6364,     7.4759,     1.6421,
     8.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1056,     0.2603,     0.0796,     0.0344,    -0.4799,   230.4530,     7.4759,     1.6421,
     9.0000,     0.0897,    -0.0025,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1065,     0.2627,     0.0804,     0.0347,    -0.4842,   229.2757,     7.4759,     1.6421,
    10.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1058,     0.2614,     0.0800,     0.0345,    -0.4818,   228.1046,     7.4759,     1.6421,
    11.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1053,     0.2604,     0.0797,     0.0344,    -0.4797,   226.9396,     7.4759,     1.6421,
    12.0000,     0.0897,    -0.0019,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1055,     0.2613,     0.0799,     0.0345,    -0.4812,   225.7807,     7.4759,     1.6421,
    13.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1053,     0.2610,     0.0799,     0.0345,    -0.4807,   224.6278,     7.4759,     1.6421,
    14.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1037,     0.2573,     0.0787,     0.0340,    -0.4737,   223.4809,     7.4759,     1.6421,
    15.0000,     0.0897,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1021,     0.2536,     0.0776,     0.0335,    -0.4668,   222.3400,     7.4759,     1.6421,
    16.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1027,     0.2553,     0.0781,     0.0337,    -0.4698,   221.2051,     7.4759,     1.6421,
    17.0000,     0.0897,    -0.0008,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1014,     0.2524,     0.0772,     0.0333,    -0.4643,   220.0760,     7.4759,     1.6421,
    18.0000,     0.0897,    -0.0009,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1026,     0.2556,     0.0782,     0.0338,    -0.4701,   218.9528,     7.4759,     1.6421,
    19.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1019,     0.2540,     0.0777,     0.0335,    -0.4672,   217.8355,     7.4759,     1.6421,
    20.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1011,     0.2523,     0.0772,     0.0333,    -0.4639,   216.7240,     7.4759,     1.6421,
    21.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1011,     0.2526,     0.0773,     0.0334,    -0.4643,   215.6183,     7.4759,     1.6421,
    22.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1007,     0.2519,     0.0771,     0.0333,    -0.4630,   214.5183,     7.4759,     1.6421,
    23.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1064,     0.2662,     0.0814,     0.0352,    -0.4892,   213.4241,     7.4759,     1.6421,
    24.0000,     0.0897,    -0.0014,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1056,     0.2645,     0.0809,     0.0349,    -0.4859,   212.3356,     7.4759,     1.6421,
    25.0000,     0.0897,    -0.0023,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1051,     0.2637,     0.0807,     0.0348,    -0.4844,   211.2527,     7.4759,     1.6421,
    26.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1049,     0.2633,     0.0806,     0.0348,    -0.4835,   210.1754,     7.4759,     1.6421,
    27.0000,     0.0897,    -0.0008,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1027,     0.2581,     0.0790,     0.0341,    -0.4738,   209.1038,     7.4759,     1.6421,
    28.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1032,     0.2596,     0.0794,     0.0343,    -0.4765,   208.0377,     7.4759,     1.6421,
    29.0000,     0.0897,    -0.0007,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1040,     0.2620,     0.0801,     0.0346,    -0.4807,   206.9772,     7.4759,     1.6421,
    30.0000,     0.0897,    -0.0005,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1045,     0.2634,     0.0806,     0.0348,    -0.4832,   205.9222,     7.4759,     1.6421,
    31.0000,     0.0897,    -0.0009,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1039,     0.2623,     0.0802,     0.0346,    -0.4811,   204.8727,     7.4759,     1.6421,
    32.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1038,     0.2622,     0.0802,     0.0346,    -0.4808,   203.8287,     7.4759,     1.6421,
    33.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1034,     0.2615,     0.0800,     0.0345,    -0.4793,   202.7900,     7.4759,     1.6421,
    34.0000,     0.0897,    -0.0019,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1035,     0.2621,     0.0802,     0.0346,    -0.4804,   201.7568,     7.4759,     1.6421,
    35.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1025,     0.2599,     0.0795,     0.0343,    -0.4763,   200.7290,     7.4759,     1.6421,
    36.0000,     0.0897,    -0.0011,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1046,     0.2653,     0.0812,     0.0350,    -0.4861,   199.7064,     7.4759,     1.6421,
    37.0000,     0.0897,    -0.0010,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1052,     0.2672,     0.0817,     0.0353,    -0.4894,   198.6892,     7.4759,     1.6421,
    38.0000,     0.0897,    -0.0013,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1046,     0.2659,     0.0813,     0.0351,    -0.4870,   197.6773,     7.4759,     1.6421,
    39.0000,     0.0897,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1055,     0.2684,     0.0821,     0.0354,    -0.4914,   196.6707,     7.4759,     1.6421,
    40.0000,     0.0897,    -0.0012,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1045,     0.2662,     0.0814,     0.0351,    -0.4872,   195.6693,     7.4759,     1.6421,
    41.0000,     0.0897,    -0.0020,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1029,     0.2625,     0.0803,     0.0347,    -0.4804,   194.6730,     7.4759,     1.6421,
    42.0000,     0.0897,    -0.0016,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1024,     0.2616,     0.0800,     0.0345,    -0.4786,   193.6819,     7.4759,     1.6421,
    43.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1024,     0.2617,     0.0800,     0.0345,    -0.4786,   192.6961,     7.4759,     1.6421,
    44.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1039,     0.2658,     0.0813,     0.0351,    -0.4861,   191.7153,     7.4759,     1.6421,
    45.0000,     0.0897,    -0.0025,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1053,     0.2697,     0.0825,     0.0356,    -0.4932,   190.7396,     7.4759,     1.6421,
    46.0000,     0.0897,    -0.0017,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1043,     0.2675,     0.0818,     0.0353,    -0.4890,   189.7690,     7.4759,     1.6421,
    47.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1018,     0.2613,     0.0799,     0.0345,    -0.4774,   188.8034,     7.4759,     1.6421,
    48.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1015,     0.2608,     0.0798,     0.0344,    -0.4764,   187.8428,     7.4759,     1.6421,
    49.0000,     0.0897,    -0.0019,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1021,     0.2625,     0.0803,     0.0347,    -0.4796,   186.8872,     7.4759,     1.6421,
    50.0000,     0.0897,    -0.0027,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1097,     0.2824,     0.0864,     0.0373,    -0.5158,   185.9366,     7.4759,     1.6421,
    51.0000,     0.0897,    -0.0033,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1114,     0.2872,     0.0878,     0.0379,    -0.5243,   184.9909,     7.4759,     1.6421,
    52.0000,     0.0897,    -0.0027,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0001,    -0.0001,     0.1109,     0.2863,     0.0876,     0.0378,    -0.5225,   184.0501,     7.4759,     1.6421,
    53.0000,     0.0897,    -0.0023,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1096,     0.2831,     0.0866,     0.0374,    -0.5166,   183.1142,     7.4759,     1.6421,
    54.0000,     0.0897,    -0.0018,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1094,     0.2829,     0.0865,     0.0373,    -0.5161,   182.1831,     7.4759,     1.6421,
    55.0000,     0.0897,    -0.0021,     0.0000,     0.0000,     0.0000,     0.0000,    -0.0000,    -0.0000,     0.1077,     0.2788,     0.0853,     0.0368,    -0.5086,   181.2569,     7.4759,     1.6421,
